dataset,subject,roi,time_idx,time_s,model,layer,RSA,CKA
EEG2,sub-01,whole_brain,20,0.2,Qwen3-VL-2B,features/language_model-layers-11,-0.03250813145991971,0.01912619869564442
EEG2,sub-01,whole_brain,20,0.2,Qwen3-VL-2B,features/language_model-layers-16,-0.009622426759626556,0.020430514941985535
EEG2,sub-01,whole_brain,20,0.2,Qwen3-VL-2B,features/language_model-layers-3,-0.01726633086693029,0.01714007514232107
EEG2,sub-01,whole_brain,20,0.2,Qwen3-VL-2B,features/language_model-layers-8,-0.027711202057033087,0.01708589622834062
EEG2,sub-01,whole_brain,20,0.2,Qwen3-VL-2B,features/visual-blocks-10,0.02796334259013439,0.01699270640801801
EEG2,sub-01,whole_brain,20,0.2,Qwen3-VL-2B,features/visual-blocks-14,0.027474817395320945,0.01569262009921231
EEG2,sub-01,whole_brain,20,0.2,Qwen3-VL-2B,features/visual-blocks-18,0.02377500627771095,0.016043658955784967
EEG2,sub-01,whole_brain,20,0.2,Qwen3-VL-2B,features/visual-blocks-2,0.052980042628523905,0.011326663899212837
EEG2,sub-01,whole_brain,20,0.2,Qwen3-VL-2B,features/visual-blocks-22,0.029089747743653235,0.01862714131058489
EEG2,sub-01,whole_brain,20,0.2,Qwen3-VL-2B,features/visual-blocks-6,0.04802311006608252,0.013004445527464693
EEG2,sub-01,whole_brain,22,0.22,ResNet152_adv,features/layer1-0,0.11837099531845013,0.021238871833860976
EEG2,sub-01,whole_brain,22,0.22,ResNet152_adv,features/layer2-0,0.10176301909957403,0.02410525475520969
EEG2,sub-01,whole_brain,22,0.22,ResNet152_adv,features/layer3-0,0.064141702520382,0.021548151270025198
EEG2,sub-01,whole_brain,22,0.22,ResNet152_adv,features/layer3-10,0.06796426950597143,0.014205140496107592
EEG2,sub-01,whole_brain,22,0.22,ResNet152_adv,features/layer3-15,0.05577378989210064,0.015188594390050221
EEG2,sub-01,whole_brain,22,0.22,ResNet152_adv,features/layer3-20,0.051605698734696864,0.014916933474550984
EEG2,sub-01,whole_brain,22,0.22,ResNet152_adv,features/layer3-25,0.03716737234766427,0.017451052074199915
EEG2,sub-01,whole_brain,22,0.22,ResNet152_adv,features/layer3-30,0.04108405920889678,0.01574561706662616
EEG2,sub-01,whole_brain,22,0.22,ResNet152_adv,features/layer3-5,0.07943210704981929,0.013873719497384366
